Digi-Key Part Number,Customer Reference,Quantity
490-10698-1-ND,"TP-BRIDGE C1, C5, C7, C8, C9, C10, C11, C13, C14, C15, C16",11
490-GRM188Z71A475KE15JCT-ND,"TP-BRIDGE C2, C3, C4, C6, C20",5
490-5888-1-ND,"TP-BRIDGE C17, C18",2
490-10017-1-ND,"TP-BRIDGE C19, C23, C24",3
490-14409-1-ND,"TP-BRIDGE C21, C22",2
732-13422-1-ND,TP-BRIDGE D1,1
732-13424-1-ND,TP-BRIDGE D2,1
F5760CT-ND,TP-BRIDGE F1,1
490-4002-1-ND,TP-BRIDGE FB1,1
445-TFM252012ALVA3R3MTAACT-ND,TP-BRIDGE L1,1
2151-RH100-12.000-12-1010-X-TR-NS2CT-ND,TP-BRIDGE Y1,1
2019-RK73H1ERTTP1002FCT-ND,TP-BRIDGE R1,1
P2.20KLCT-ND,"TP-BRIDGE R2, R11",2
P4.70KLCT-ND,TP-BRIDGE R3,1
P1.00KLCT-ND,"TP-BRIDGE R4, R10, R15, R16",4
P33.0LCT-ND,TP-BRIDGE R5,1
2019-RK73H1ETTP27R0FCT-ND,"TP-BRIDGE R6, R7",2
P5.10KLCT-ND,"TP-BRIDGE R8, R9",2
P0.0JCT-ND,TP-BRIDGE R12,1
541-100KLCT-ND,"TP-BRIDGE R13, R14",2
P16765CT-ND,"TP-BRIDGE SW1, SW2",2
H125806CT-ND,TP-BRIDGE J1,1
2073-USB4105-GF-ACT-ND,TP-BRIDGE J3,1
2648-SC1509-A4CT-ND,TP-BRIDGE U1,1
256-W25Q128JVPIQ-TUBE-ND,TP-BRIDGE U2,1
296-TPS7A2033PDBVRCT-ND,TP-BRIDGE U3,1
497-11882-1-ND,TP-BRIDGE U4,1
NCP361SNT1GOSCT-ND,TP-BRIDGE U5,1
296-TLV75901PDRVRCT-ND,TP-BRIDGE U6,1
WM21809-ND,TP-BRIDGE CABLE,1
